,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
178,Colours,Grouplove,2011-09-02,59,0.529,0.0211,0.529,0.83,0.0,0.0983,-5.428,0.0397,93.933,4,0.318
179,Your Wildest Dreams,The Moody Blues,1986-01-01,0,0.534,0.289,0.534,0.582,0.0338,0.283,-15.997,0.0374,141.362,4,0.653
180,My Type,Saint Motel,2014-06-17,65,0.596,0.0641,0.596,0.897,5.24e-05,0.0628,-2.94,0.0462,118.0,4,0.578
181,Spun,Grouplove,2011-09-02,39,0.424,0.00262,0.424,0.851,2.21e-05,0.232,-6.143,0.0385,155.018,4,0.397
182,Sandstorm,Popstrangers,2014-05-26,0,0.435,0.0455,0.435,0.6,5.7e-06,0.112,-6.416,0.0296,105.057,4,0.153
183,Country Kills,Popstrangers,2014-05-26,0,0.499,0.00568,0.499,0.645,0.0,0.242,-5.812,0.0377,131.01,4,0.781
184,Don't Be Afraid,Popstrangers,2014-05-26,0,0.582,0.146,0.582,0.73,5.23e-05,0.078,-6.292,0.0434,167.146,4,0.667
185,First Day Of My Life,Bright Eyes,2005-01-25,69,0.602,0.915,0.602,0.201,8.28e-05,0.0952,-17.024,0.0363,95.345,4,0.385
186,At The Bottom Of Everything,Bright Eyes,2005-01-25,48,0.495,0.665,0.495,0.46,0.0,0.325,-11.221,0.0897,107.325,4,0.822
187,Road To Joy,Bright Eyes,2005-01-25,47,0.321,0.032,0.321,0.591,0.0017,0.115,-8.568,0.0302,146.658,4,0.122
188,Devil Town,Bright Eyes,2006-10-24,40,0.197,0.164,0.197,0.53,7.4e-05,0.25,-8.456,0.0404,71.996,3,0.357
189,L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,2011-01-01,0,0.605,0.226,0.605,0.737,0.0,0.314,-5.742,0.0389,81.999,4,0.583
190,Killamangiro,Babyshambles,2005-11-14,1,0.469,0.0353,0.469,0.9,0.00404,0.215,-4.254,0.0551,108.971,4,0.453
191,What Katy Did Next,Babyshambles,2005-11-14,0,0.548,0.0153,0.548,0.587,0.000103,0.118,-6.112,0.0368,135.894,4,0.474
192,The 32nd Of December,Babyshambles,2005-11-14,0,0.529,0.0299,0.529,0.792,0.0,0.0888,-5.054,0.0383,121.467,4,0.675
193,Woman,Wolfmother,2006-01-01,0,0.219,5.1e-05,0.219,0.952,0.0989,0.157,-3.621,0.176,112.886,1,0.172
194,Tere Mere Saath,Lucky Ali,2000-10-13,43,0.615,0.0508,0.615,0.744,0.252,0.309,-6.176,0.0267,90.036,4,0.715
195,Campus,Vampire Weekend,2008-01-27,11,0.637,0.22,0.637,0.704,0.0872,0.0849,-5.818,0.0658,162.959,4,0.645
196,Radar Detector,Darwin Deez,2009,51,0.749,0.102,0.749,0.714,0.00794,0.173,-5.055,0.199,96.515,4,0.782
197,Harlem,New Politics,2013-05-17,60,0.603,0.00189,0.603,0.952,0.000445,0.317,-3.699,0.0947,133.97,4,0.588
198,Yeah Yeah Yeah,New Politics,2010-07-12,45,0.564,0.00188,0.564,0.992,0.0,0.0423,-1.735,0.26,130.082,4,0.358
199,Dignity,New Politics,2010-07-12,37,0.387,0.061,0.387,0.975,0.0,0.133,-2.219,0.0984,181.843,4,0.294
200,The Walker,Fitz and The Tantrums,2013-05-07,55,0.77,0.00375,0.77,0.801,0.00281,0.0515,-4.182,0.0336,130.76,4,0.725
201,Trojans,Atlas Genius,2013-02-18,61,0.721,0.0113,0.721,0.822,7.01e-05,0.0898,-4.843,0.0391,140.002,4,0.536
202,You & I,Crystal Fighters,2013-04-23,0,0.581,0.0579,0.581,0.663,2.24e-06,0.102,-8.247,0.0388,139.898,4,0.433
203,Call It What You Want,Foster The People,2011-05-23,62,0.641,0.0483,0.641,0.967,0.000276,0.442,-4.289,0.0601,113.017,4,0.725
204,Take It Or Leave It,Cage The Elephant,2013-10-04,0,0.702,0.0281,0.702,0.848,0.000252,0.0593,-3.019,0.0839,119.948,4,0.649
205,Step,Vampire Weekend,2013-05-27,7,0.624,0.591,0.624,0.724,7.79e-06,0.101,-7.113,0.101,78.008,4,0.624
206,Champion Sound - Alt. Version,Crystal Fighters,2010-10-03,0,0.679,0.021,0.679,0.729,6.28e-06,0.197,-6.434,0.112,122.014,4,0.624
207,Excuses,The Morning Benders,2010,2,0.438,0.365,0.438,0.806,0.0551,0.237,-5.717,0.0395,96.156,3,0.489
208,Gangsta,Tune-Yards,2011-04-18,1,0.698,0.0983,0.698,0.758,0.0251,0.79,-6.841,0.086,101.973,4,0.311
209,Doctors & Dealers,Dirty Pretty Things,2006-01-01,24,0.422,0.00144,0.422,0.981,0.0,0.108,-2.221,0.0809,119.784,4,0.471
210,Summertime Clothes,Animal Collective,2009-01-10,0,0.492,0.00178,0.492,0.873,0.0,0.832,-5.512,0.093,136.017,4,0.323
211,Liar Liar,Cris Cab,2013-01-01,0,0.868,0.00849,0.868,0.582,0.00763,0.11,-7.852,0.0328,107.021,4,0.764
212,Continental Shelf,Preoccupations,2014-10-16,15,0.416,0.000638,0.416,0.908,0.926,0.159,-6.142,0.0509,114.464,4,0.599
213,Up The Down Escalator,The Chameleons,2008-05-26,21,0.416,0.00173,0.416,0.919,6.48e-05,0.125,-6.473,0.036,135.032,4,0.501
214,Same Jeans,The View,2007-01-15,30,0.484,0.00724,0.484,0.962,0.0,0.112,-3.64,0.044,134.63,4,0.611
215,Sexy In Latin,Little Man Tate,2006-01-01,0,0.258,0.0036,0.258,0.902,0.0,0.636,-3.996,0.0697,190.125,4,0.518
216,Boys Will Be Boys,Various Artists,2013-05-24,0,0.496,0.000667,0.496,0.939,0.0,0.104,-4.001,0.066,143.777,4,0.832
217,Life Will Be the Death of Me,The Ordinary Boys,2005-06-20,12,0.463,0.0472,0.463,0.859,0.0,0.0759,-5.214,0.0488,172.31,4,0.97
218,Happy as Annie - Master,Larrikin Love,2006-09-25,24,0.514,0.00438,0.514,0.945,0.0,0.0853,-4.495,0.0714,140.925,4,0.855
219,Six Queens - Vocal Up - Cenzo Mix,Larrikin Love,2006-09-25,15,0.474,0.0283,0.474,0.921,0.0,0.407,-3.542,0.0826,102.792,4,0.579
220,Edwould - Full Length Version,Larrikin Love,2006-09-25,12,0.341,0.0355,0.341,0.955,0.0,0.295,-2.29,0.0522,139.725,4,0.757
221,Downing Street Kindling - New Version,Larrikin Love,2006-09-25,10,0.37,0.0354,0.37,0.923,0.0,0.117,-4.051,0.0744,161.96,4,0.765
222,Meet Me by the Getaway Car - Vocal Up,Larrikin Love,2006-09-25,9,0.404,0.0835,0.404,0.895,0.0,0.0754,-4.651,0.0534,92.48,4,0.643
223,The Photos On My Wall,Good Shoes,2007,0,0.504,0.00684,0.504,0.921,0.0,0.287,-5.698,0.105,175.503,4,0.684
224,Under Control,Good Shoes,2010,0,0.665,0.00669,0.665,0.842,0.0,0.0899,-5.585,0.0723,144.982,4,0.854
225,The Way My Heart Beats,Good Shoes,2010,0,0.443,0.00311,0.443,0.941,0.0,0.099,-4.609,0.0594,185.127,4,0.793
226,I'm Not Gonna Teach Your Boyfriend How To Dance With You,Black Kids,2008-01-01,47,0.48,0.000304,0.48,0.929,0.0,0.366,-4.082,0.0476,125.321,4,0.799
227,22 Grand Job,The Rakes,2005-01-01,0,0.495,0.0194,0.495,0.947,0.0,0.591,-3.026,0.0631,162.5,4,0.861
228,Fire Dance,The Pan I Am,2009-06-22,0,0.396,0.000128,0.396,0.936,0.206,0.23,-4.021,0.0724,138.061,4,0.568
229,The Middle,Bosco Rogers,2014-11-10,26,0.633,0.00439,0.633,0.897,0.0436,0.2,-4.936,0.0312,115.009,4,0.883
230,Jailbird,Primal Scream,1994-03-28,0,0.582,0.00697,0.582,0.767,0.0229,0.108,-7.944,0.0652,100.498,4,0.623
231,Common People,Pulp,2002-01-01,0,0.311,0.00735,0.311,0.895,4.09e-05,0.0824,-4.854,0.0416,145.583,4,0.496
232,Disco 2000,Pulp,1995-10-30,0,0.567,0.0147,0.567,0.932,0.0,0.0484,-5.888,0.0759,133.074,4,0.55
233,Sorted For E's & Wizz,Pulp,1995-10-30,0,0.534,0.259,0.534,0.818,1.55e-06,0.358,-7.819,0.0536,93.851,4,0.489
234,Nobody's Empire,Belle & Sebastian,2015-01-19,0,0.573,0.0168,0.573,0.81,5.84e-06,0.0988,-6.917,0.0333,124.015,4,0.456
235,Valiumsvalsen,John Olav Nilsen & Gjengen,2009-09-14,0,0.383,0.0246,0.383,0.866,0.0,0.332,-3.052,0.0403,148.303,4,0.773
236,Diamanter Og Kirsebær,John Olav Nilsen & Gjengen,2009-09-14,0,0.416,0.359,0.416,0.599,0.0,0.433,-4.796,0.0327,110.547,4,0.226
237,Shut Up and Dance,WALK THE MOON,2014-12-02,81,0.578,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4,0.619
238,Snails,The Format,2006-07-11,0,0.682,0.0959,0.682,0.551,0.0612,0.301,-8.876,0.0246,93.997,4,0.586
239,The Feeling Kind,Thao & The Get Down Stay Down,2013-02-04,0,0.653,0.399,0.653,0.584,0.0006,0.106,-6.714,0.0289,94.882,4,0.801
240,This Charming Man - Single Version; 2008 Remaster,The Smiths,2008-11-11,49,0.592,0.00658,0.592,0.867,0.0,0.0818,-4.447,0.049,103.92,4,0.696
241,The Boy with the Thorn in His Side - Single Version; 2008 Remaster,The Smiths,2008-11-11,37,0.515,0.294,0.515,0.913,4.1e-05,0.359,-4.998,0.04,118.856,4,0.728
242,Ask - 2008 Remaster,The Smiths,2008-11-11,37,0.455,0.371,0.455,0.984,0.0,0.415,-5.729,0.121,166.599,4,0.589
243,Sheila Take a Bow - 2008 Remaster,The Smiths,2008-11-11,30,0.54,0.0497,0.54,0.864,2.44e-05,0.339,-3.737,0.0321,125.245,4,0.65
244,Can't Stand Me Now,The Libertines,2004,8,0.368,0.0111,0.368,0.935,0.00201,0.0948,-3.204,0.0587,164.425,4,0.558
245,Brilliant Disguise,Pipe Villarán,2014-10-06,0,0.611,0.376,0.611,0.609,1.02e-05,0.0625,-8.405,0.0325,122.005,4,0.536
246,Waterfall,The Stone Roses,1989-05-02,28,0.502,0.0347,0.502,0.52,0.404,0.284,-13.537,0.0283,103.711,4,0.585
247,Newborn,Set Sail,2014-08-18,0,0.553,0.00317,0.553,0.759,0.0293,0.156,-4.902,0.0268,128.98,4,0.27
248,The Boat Song,Set Sail,2011-04-26,19,0.498,0.226,0.498,0.972,0.0119,0.075,-3.032,0.0762,166.058,4,0.815
249,Charleston,Set Sail,2012-05-21,0,0.476,0.111,0.476,0.932,0.0,0.362,-4.342,0.0985,163.721,4,0.623
250,Rebellion (Lies),Arcade Fire,2005-02-28,0,0.4,0.00787,0.4,0.934,0.513,0.338,-5.696,0.0344,127.09,4,0.731
251,Second Chance,Peter Bjorn and John,2011-03-28,0,0.597,0.0177,0.597,0.964,0.00249,0.0697,-1.543,0.0849,132.762,4,0.788
252,Dashboard,Modest Mouse,2007-03-20,64,0.639,0.00963,0.639,0.903,7.06e-05,0.174,-5.013,0.0371,135.938,4,0.96
253,Fight Test,The Flaming Lips,2002-05-13,51,0.49,0.0404,0.49,0.985,1.77e-05,0.304,-2.386,0.0639,82.043,4,0.886
254,Can You Tell,Ra Ra Riot,2007,24,0.596,0.186,0.596,0.658,0.21,0.0999,-10.335,0.03,145.032,4,0.726
255,Wraith Pinned to the Mist and Other Games,of Montreal,2005-04-12,58,0.873,0.0282,0.873,0.582,0.0699,0.182,-9.901,0.047,122.005,4,0.77
256,Oh Euphoria,Keston Cobblers Club,2014-09-01,13,0.568,0.612,0.568,0.73,0.55,0.139,-8.36,0.0335,149.98,4,0.906
257,Guillotine,The Wombats,2011-08-05,32,0.402,0.00509,0.402,0.713,0.0,0.0956,-7.507,0.0567,124.357,4,0.307
258,Solitude Is Bliss,Tame Impala,2010-01-01,0,0.591,0.00971,0.591,0.847,0.000124,0.176,-4.963,0.0642,104.004,4,0.64
259,Your Girl,Kakkmaddafakka,2011-02-25,0,0.689,0.154,0.689,0.837,0.0,0.31,-4.498,0.0384,124.031,4,0.689
260,Self-Esteem,Kakkmaddafakka,2011-02-25,0,0.641,0.289,0.641,0.783,7.37e-05,0.339,-5.346,0.0323,126.984,4,0.762
261,Touching,Kakkmaddafakka,2011-02-25,0,0.504,0.00322,0.504,0.867,0.0,0.0379,-3.916,0.0375,139.956,4,0.751
262,Ice Black Sand,Reptar,2015-02-04,10,0.823,0.211,0.823,0.671,0.000331,0.617,-5.461,0.0305,117.993,4,0.908
263,Circulation,Hotel Mira,2015-04-10,0,0.522,0.0331,0.522,0.775,1.56e-05,0.17,-6.221,0.0365,127.193,4,0.704
264,"If I Don't Live Today, Then I Might Be Here Tomorrow",Mando Diao,2012-01-06,0,0.411,0.00038,0.411,0.925,0.0,0.321,-4.132,0.0622,121.436,4,0.779
265,Forever Alone,Kakkmaddafakka,2013-06-28,0,0.673,0.372,0.673,0.632,0.0,0.152,-7.13,0.0373,129.974,4,0.513
266,Jerk,Only Real,2015-03-15,0,0.652,0.222,0.652,0.83,6.54e-06,0.086,-3.762,0.0445,97.506,4,0.818
267,Punks And Potions,Only Real,2013-01-01,0,0.566,0.155,0.566,0.642,7.87e-05,0.335,-7.322,0.0269,94.984,4,0.261
268,Make It Right,The May Fire,2007-01-01,7,0.167,0.255,0.167,0.774,2.86e-05,0.339,-5.03,0.0434,203.766,4,0.522
269,Take It Easy (Love Nothing),Bright Eyes,2005-01-25,32,0.642,0.175,0.642,0.897,0.00222,0.13,-7.59,0.0821,130.01,4,0.573
270,All Hail Dracula!,Someone Still Loves You Boris Yeltsin,2010-08-17,13,0.384,0.069,0.384,0.829,2.82e-06,0.11,-6.55,0.0524,149.771,4,0.539
271,Elevator Operator,Courtney Barnett,2015-03-23,0,0.682,0.000766,0.682,0.769,0.00898,0.36,-7.197,0.0324,131.693,4,0.769
272,We Used to Vacation,Cold War Kids,2006,0,0.452,0.0104,0.452,0.759,0.0,0.165,-4.258,0.0544,101.949,4,0.374
273,Dreaming of You,The Coral,2002-07-22,0,0.441,0.374,0.441,0.684,0.000848,0.108,-7.495,0.031,199.001,4,0.971
274,Miracle Mile,Cold War Kids,2013-01-01,0,0.355,0.00664,0.355,0.867,0.554,0.323,-3.144,0.0738,142.849,4,0.295
275,In One Ear,Cage The Elephant,2008-01-01,34,0.323,0.000224,0.323,0.949,1.34e-06,0.365,-4.429,0.0565,166.375,4,0.385
276,Mount Hopeless,Melody's Echo Chamber,2012-09-25,0,0.445,0.0224,0.445,0.967,0.0452,0.281,-3.347,0.0446,90.611,4,0.405
277,"Some Time Alone, Alone",Melody's Echo Chamber,2012-09-25,0,0.444,0.00867,0.444,0.958,0.00652,0.323,-3.866,0.0485,108.478,4,0.551
278,Further On,Bronze Radio Return,2013-01-07,30,0.634,0.194,0.634,0.808,0.00753,0.149,-6.495,0.0331,130.136,4,0.9
279,Thinking About You,Radiohead,1993-04-23,0,0.364,0.704,0.364,0.37,7.71e-06,0.0883,-14.134,0.0331,103.44,4,0.421
280,Pobre Corazón,Los Bunkers,2002,26,0.296,0.00571,0.296,0.887,0.0,0.127,-3.65,0.0374,128.117,4,0.29
281,Las Cosas Que Cambié y Dejé For Ti,Los Bunkers,2002,32,0.555,0.0037,0.555,0.693,0.0,0.211,-6.718,0.0312,121.847,4,0.83
282,Red Eyes,The War On Drugs,2014-03-18,64,0.464,0.00871,0.464,0.815,0.201,0.162,-6.371,0.0368,161.845,4,0.467
283,Owen,Frankie Cosmos,2014-03-04,0,0.586,0.139,0.586,0.378,0.000355,0.155,-7.888,0.0277,136.17,4,0.37
284,Talking Backwards,Real Estate,2014-03-03,0,0.408,0.0299,0.408,0.875,0.823,0.169,-6.036,0.0301,150.782,4,0.56
285,Had To Hear,Real Estate,2014-03-03,0,0.556,0.135,0.556,0.765,0.732,0.149,-7.474,0.0319,125.72,4,0.499
286,Monsoon - Money Mark Casio Remix,Jack Johnson,2008-01-01,18,0.672,0.364,0.672,0.579,0.0013,0.0772,-6.592,0.0386,142.636,4,0.561
287,Mind Mischief,Tame Impala,2012-01-01,0,0.26,0.0728,0.26,0.938,0.0028,0.369,-3.17,0.0531,161.349,4,0.865
288,Weekend,Priory,2015-04-03,37,0.6,0.0696,0.6,0.817,0.0,0.133,-6.401,0.0642,151.95,4,0.652
289,Brimful of Asha,Cornershop,1997-08-18,2,0.829,0.388,0.829,0.831,0.0,0.0796,-6.304,0.0356,110.074,4,0.923
290,Pumped Up Kicks,Foster The People,2011-05-23,84,0.733,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4,0.965
291,Let It Rain,Carl Barat And The Jackals,2015-02-16,0,0.571,0.00527,0.571,0.525,0.00137,0.108,-7.917,0.0277,86.059,4,0.271
292,Picture Me in a Hospital,Babyshambles,2013-08-30,25,0.473,0.00784,0.473,0.838,2.83e-05,0.133,-4.553,0.0318,98.049,4,0.455
293,Farmer's Daughter,Babyshambles,2013-08-30,23,0.528,0.0393,0.528,0.495,0.000527,0.363,-5.556,0.0279,88.122,4,0.339
294,Penguins,Babyshambles,2013-08-30,15,0.24,0.0609,0.24,0.415,0.016,0.208,-5.467,0.0365,82.207,4,0.0505
295,The Last of the Famous International Playboys,Morrissey,1997-09-08,22,0.637,0.0337,0.637,0.673,4.99e-06,0.115,-11.744,0.027,104.332,4,0.787
296,The Delaney,The Libertines,2002-09-30,0,0.474,7.77e-05,0.474,0.731,0.0145,0.111,-5.46,0.0306,106.622,4,0.677
297,1997,Saint Motel,2012-07-10,40,0.345,0.0415,0.345,0.806,0.00776,0.0938,-5.857,0.0365,101.646,4,0.317
298,Kitty,boom boom kid,2001,0,0.51,0.0233,0.51,0.872,0.0,0.131,-3.653,0.0298,149.931,4,0.817
299,Masticar,Fun People,2003-07-25,0,0.505,0.00354,0.505,0.871,0.0,0.158,-4.94,0.0857,152.379,4,0.826
300,Vagabond,Various Artists,2009-07-10,0,0.471,0.41,0.471,0.739,0.291,0.401,-6.983,0.0751,100.594,4,0.354
301,Under Cover of Darkness,The Strokes,2011-03-21,67,0.35,0.00433,0.35,0.775,0.283,0.0676,-3.364,0.054,199.866,4,0.588
302,Machu Picchu,The Strokes,2011-03-21,62,0.695,0.0132,0.695,0.817,0.097,0.0601,-5.294,0.0659,105.014,4,0.874
303,Juicebox,The Strokes,2006-01-03,0,0.462,0.00166,0.462,0.981,0.00894,0.0856,-2.371,0.127,154.995,4,0.547
304,You Only Live Once,The Strokes,2006-01-03,0,0.63,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,120.522,4,0.968
305,Razorblade,The Strokes,2006-01-03,0,0.394,0.00201,0.394,0.859,0.233,0.1,-3.851,0.0409,136.075,5,0.511
306,Gratisfaction,The Strokes,2011-03-21,52,0.644,0.0456,0.644,0.788,0.34,0.237,-5.039,0.0558,135.437,4,0.708
307,Your Life In France,Ceremony,2015-05-18,0,0.377,0.000133,0.377,0.745,0.788,0.103,-4.172,0.0323,169.179,4,0.201
308,Where Did All the Love Go?,Kasabian,2009,54,0.656,0.00877,0.656,0.833,0.0126,0.328,-5.13,0.0304,134.007,4,0.71
309,Our Velocity,Maximo Park,2007-04-01,52,0.535,0.031,0.535,0.92,1.43e-05,0.0493,-4.39,0.0535,95.987,4,0.587
310,10 AM,Left Boy,2014-02-14,40,0.744,0.0328,0.744,0.849,0.0,0.366,-4.446,0.12,110.062,4,0.828
311,Baby Bye Bye,"Kitty, Daisy & Lewis",2015-01-26,0,0.648,0.408,0.648,0.619,0.000793,0.182,-6.765,0.0258,87.383,4,0.683
312,Rock & Roll Queen,The Subways,2005-07-04,61,0.395,0.000316,0.395,0.764,0.00131,0.111,-6.258,0.0419,141.423,4,0.325
313,Bamboo,Hinds,2014-06-17,0,0.456,0.382,0.456,0.703,0.00395,0.112,-4.305,0.0324,101.287,4,0.589
314,Another You,Jacco Gardner,2015-05-04,0,0.581,0.188,0.581,0.813,0.0704,0.0956,-6.267,0.04,140.059,4,0.265
315,Cucurucu,Nick Mulvey,2014-05-09,0,0.339,0.177,0.339,0.616,4.49e-05,0.0825,-7.888,0.0761,97.021,4,0.445
316,Fred Astaire,San Cisco,2012,40,0.643,0.0338,0.643,0.676,0.0,0.0804,-6.091,0.0394,104.844,4,0.62
317,Ms,alt-J,2012-10-22,0,0.577,0.882,0.577,0.41,0.0136,0.0697,-11.392,0.0367,130.902,4,0.08
318,Typical Girls,The Slits,1979,44,0.488,2.43e-05,0.488,0.714,0.6,0.0672,-9.835,0.0432,157.604,4,0.726
319,Babies,Pulp,1994-04-18,0,0.299,0.113,0.299,0.818,2.46e-06,0.0827,-7.942,0.0649,156.193,4,0.604
320,Leader,Phantom Planet,2008-04-14,21,0.355,0.000481,0.355,0.913,0.0,0.112,-4.746,0.105,89.478,4,0.662
321,Do The Panic,Phantom Planet,2008-04-14,43,0.634,0.0122,0.634,0.797,2.67e-06,0.113,-5.13,0.0566,133.037,4,0.752
322,F.A.G.,Goons Of Doom,2009-10-26,0,0.646,0.382,0.646,0.863,0.0,0.607,-5.757,0.0746,158.064,4,0.513
323,L.S.F.,Kasabian,2004-01-30,57,0.613,0.00693,0.613,0.761,0.000151,0.27,-7.468,0.0343,105.274,4,0.443
324,...And Carrot Rope,Pavement,1999-06-08,0,0.546,0.169,0.546,0.338,1.39e-06,0.277,-10.659,0.0315,143.045,4,0.492
325,L.S.D,Skegss,2014-07-31,0,0.63,0.546,0.63,0.874,0.661,0.281,-4.183,0.0425,135.973,4,0.747
326,Mr Tembo,Damon Albarn,2014-04-22,44,0.744,0.182,0.744,0.555,0.0,0.666,-9.933,0.166,92.084,4,0.833
327,Lisztomania,Phoenix,2009-01-01,0,0.642,0.0383,0.642,0.808,0.00829,0.547,-6.406,0.0463,97.565,4,0.273
328,Take Off Your Sunglasses,Ezra Furman And The Harpoons,2008-10-07,0,0.484,3.61e-05,0.484,0.785,0.00359,0.179,-5.008,0.0297,132.931,4,0.788
329,Hung Up On A Dream - Mono Version,The Zombies,1968-04-19,35,0.329,0.268,0.329,0.685,0.327,0.0837,-5.105,0.0293,100.607,4,0.183
330,I Think I Like U 2 - Original version,Jamaica,2010-08-23,0,0.402,0.00877,0.402,0.873,3.32e-05,0.0845,-3.99,0.211,155.134,4,0.467
331,Shake,The Head And The Heart,2013-10-15,47,0.478,0.465,0.478,0.787,0.759,0.13,-8.004,0.0351,111.091,4,0.416
332,Warm Heart Of Africa,The Very Best,2009-09-07,0,0.84,0.00683,0.84,0.727,3.11e-06,0.283,-6.021,0.102,106.009,4,0.907
333,Fear,BOY,2015-08-21,0,0.604,0.0812,0.604,0.759,0.00292,0.0971,-8.908,0.0349,120.984,4,0.568
334,Hang Me Up To Dry,Cold War Kids,2006-01-01,0,0.508,0.0278,0.508,0.925,0.000968,0.396,-2.828,0.0312,92.454,4,0.641
335,Gronlandic Edit,of Montreal,2007-01-23,57,0.971,0.0833,0.971,0.4,0.000661,0.108,-7.154,0.0487,119.953,4,0.652
336,I Wish That I Could See You Soon,Herman Düne,2006-10-13,45,0.578,0.598,0.578,0.587,0.0,0.0965,-6.734,0.0818,157.43,4,0.911
337,At Last,The Dø,2008,0,0.75,0.242,0.75,0.427,2.81e-06,0.155,-7.599,0.0288,91.978,4,0.609
338,Más o Menos Bien,El Mató a un Policía Motorizado,2012-11-28,0,0.286,0.00378,0.286,0.562,0.576,0.117,-7.523,0.0307,106.879,4,0.295
339,New Slang,Luke Sital-Singh,2014-07-21,38,0.746,0.318,0.746,0.42,6.08e-05,0.152,-11.609,0.0307,125.0,3,0.78
340,I Was Born (A Unicorn),The Unicorns,2014-07-29,0,0.556,0.0117,0.556,0.511,8.28e-05,0.0316,-7.848,0.122,144.548,4,0.735
341,NEW DORP. NEW YORK,SBTRKT,2014-09-29,2,0.844,0.00174,0.844,0.438,0.00118,0.144,-10.564,0.264,119.008,4,0.548
342,Making Breakfast,Twin Peaks,2014-10-20,27,0.495,0.000267,0.495,0.782,0.736,0.54,-4.694,0.0315,116.114,4,0.451
343,Anna,Will Butler,2016-01-23,0,0.767,0.105,0.767,0.56,0.361,0.09,-8.833,0.125,166.532,4,0.65
344,Crackin' Up - Live / Remastered 2009,The Rolling Stones,1977-09-23,0,0.649,0.528,0.649,0.762,0.0446,0.566,-7.182,0.0882,105.264,4,0.96
345,Hey Sandy,Polaris,2002-01-01,40,0.594,0.0378,0.594,0.567,0.000354,0.0894,-9.363,0.0374,132.368,4,0.574
346,I Get Ideas,M. Ward,2012-04-09,0,0.192,0.0211,0.192,0.834,0.0,0.358,-5.08,0.0715,186.042,4,0.716
347,Masterpiece,Will And The People,2012-06-18,0,0.623,0.318,0.623,0.479,0.000218,0.0965,-9.774,0.0502,124.122,4,0.46
348,I Would Do It All Again,L'aupaire,2015-06-05,0,0.698,0.185,0.698,0.491,0.005,0.143,-6.669,0.0341,115.974,4,0.486
349,Jigsaw Puzzle,of Montreal,2014-06-13,18,0.46,0.00171,0.46,0.931,0.00164,0.0967,-3.395,0.0337,133.339,4,0.74
350,Bassem Sabry,of Montreal,2015-02-27,26,0.707,0.0106,0.707,0.891,0.0,0.0818,-5.471,0.0464,117.963,4,0.841
351,A Sentence Of Sorts In Kongsvinger,of Montreal,2007-01-23,38,0.683,0.301,0.683,0.822,0.00025,0.122,-4.771,0.152,119.999,4,0.562
352,Shelter Song,Temples,2014-02-10,0,0.491,0.000212,0.491,0.899,8.52e-05,0.167,-3.315,0.0373,126.061,4,0.537
353,Let's Get High,Edward Sharpe & The Magnetic Zeros,2013-01-01,30,0.373,0.325,0.373,0.748,0.00215,0.401,-6.631,0.0371,94.776,4,0.51
354,Burning for No One,The Cribs,2015-03-23,29,0.591,0.000371,0.591,0.642,3.41e-05,0.115,-5.398,0.0299,122.099,4,0.798
